Fecha Solicitud,Fecha Entrega,Año,Semana,Status,Proveedor,Tipo Producto,Desc Producto,Presentacion,Cant. Comprada,Cant. Prom,Cantidad Total,Costo Total,Vr Unitario,Precio de Venta,Margen %
2023-02-13,2023-02-11,2023,6,Entregado y Pagado,Coca Cola,Gaseosa,Coca Cola Pet,1.5 L,12.0,,12,41740.0,3478.3333333333335,5500.0,0.5812170579779588
2023-02-13,2023-02-11,2023,6,Entregado y Pagado,Coca Cola,Gaseosa,Coca Cola Pet,400 ml,6.0,,6,9107.0,1517.8333333333333,2500.0,0.6470846601515319
2023-02-14,2023-02-11,2023,6,Entregado y Pagado,Bavaria BEES,Cerveza,Aguila Light RN Bot,330 ml,30.0,,30,54850.0,1828.3333333333333,2400.0,0.31267092069279867
2023-02-14,2023-02-11,2023,6,Entregado y Pagado,Bavaria BEES,Cerveza,Aguila Lig Lta 330cc,330 ml,12.0,,12,30100.0,2508.3333333333335,3300.0,0.3156146179401993
2023-02-14,2023-02-11,2023,6,Entregado y Pagado,Bavaria BEES,Bebidas,Pony Malta Pet 1.5LX 6 - 2224,1.5 L,6.0,,6,25900.0,4316.666666666667,5600.0,0.29729729729729715
2023-02-14,2023-02-11,2023,6,Entregado y Pagado,Bavaria BEES,Cerveza,Aguila Lig R 750cc X 16 - 3664,750 ml,16.0,,16,54050.0,3378.125,4500.0,0.33209990749306195
2023-02-14,2023-02-11,2023,6,Entregado y Pagado,Bavaria BEES,Cerveza,Budweiser Lta CO 269,269 ml,12.0,,12,24800.0,2066.6666666666665,2700.0,0.306451612903226
2023-02-14,2023-02-11,2023,6,Entregado y Pagado,Bavaria BEES,Cerveza,Budweiser NR 269,250 ml,24.0,,24,49050.0,2043.75,2700.0,0.32110091743119273
2023-02-14,2023-02-11,2023,6,Entregado y Pagado,Bavaria BEES,Bebidas,VIVE 100 REGULAR 380ML,380 ml,6.0,,6,12550.0,2091.6666666666665,2800.0,0.33864541832669337
2023-02-14,2023-02-11,2023,6,Entregado y Pagado,Bavaria BEES,Bebidas,VIVE 100 REGULAR 240ML,240 ml,6.0,,6,10050.0,1675.0,2200.0,0.31343283582089554
2023-02-14,2023-02-15,2023,7,Entregado y Pagado,Pepsico/FritoLay,Snack,Doritos Mega Queso,43 g,6.0,,6,10345.859999999999,1724.3099999999997,2200.0,0.275872667907743
2023-02-14,2023-02-15,2023,7,Entregado y Pagado,Pepsico/FritoLay,Snack,Margarita Pollo,35 g,4.0,,4,10345.859999999999,2586.4649999999997,2200.0,-0.14941822139483807
2023-02-14,2023-02-15,2023,7,Entregado y Pagado,Pepsico/FritoLay,Snack,Margarita Ondulada Mayonesa,35 g,6.0,,6,10345.859999999999,1724.3099999999997,2200.0,0.275872667907743
2023-02-14,2023-02-15,2023,7,Entregado y Pagado,Pepsico/FritoLay,Snack,Detodito Mix,50 g,6.0,,6,12930.539999999999,2155.0899999999997,2800.0,0.2992496833078899
2023-02-14,2023-02-15,2023,7,Entregado y Pagado,Pepsico/FritoLay,Snack,Nota Credito,,,,0,-13796.619999999999,,,0.0
2023-02-14,2023-02-15,2023,7,Entregado y Pagado,Postobon,Gaseosa,Manzana PET,1 L,6.0,,6,12500.0,2083.3333333333335,2700.0,0.2959999999999998
2023-02-14,2023-02-15,2023,7,Entregado y Pagado,Postobon,Gaseosa,Naranja PET,1 L,6.0,,6,12500.0,2083.3333333333335,2700.0,0.2959999999999998
2023-02-13,2023-02-15,2023,7,Entregado y Pagado,Colombina,Helados,Paleta Choco Break & Cookies,,16.0,,16,33263.0,2078.9375,3000.0,0.4430448245798635
2023-02-13,2023-02-15,2023,7,Entregado y Pagado,Colombina,Helados,Vasito Vainilla,,20.0,,20,20016.0,1000.8,1400.0,0.398880895283773
2023-02-13,2023-02-15,2023,7,Entregado y Pagado,Colombina,Helados,Galleta Frutos Rojos,,12.0,,12,18478.0,1539.8333333333333,2000.0,0.29884186600281426
2023-02-16,2023-02-16,2023,7,Entregado y Pagado,Yupi,Snack,Papas Rizada Mayonesa,31 g,12.0,,12,18007.0,1500.5833333333333,2000.0,0.33281501638251787
2023-02-14,2023-02-16,2023,7,Entregado y Pagado,Distri Tiendas,Galletas,Galleta Oreo Regular,54g,12.0,,12,11200.0,933.3333333333334,1200.0,0.2857142857142856
2023-02-14,2023-02-16,2023,7,Entregado y Pagado,Distri Tiendas,Dulces,Halls Tubo,,12.0,,12,12000.0,1000.0,1400.0,0.3999999999999999
2023-02-17,2023-02-18,2023,7,Entregado y Pagado,Postobon,Agua,Agua Cristal,600 ml,12.0,,12,11075.0,922.9166666666666,1300.0,0.4085778781038376
2023-02-17,2023-02-18,2023,7,Entregado y Pagado,Postobon,Agua,Agua Cristal Con Gas,600 ml,12.0,,12,15050.0,1254.1666666666667,1600.0,0.27574750830564776
2023-02-17,2023-02-18,2023,7,Entregado y Pagado,Postobon,Gaseosa,Pepsi PET,400 ml,15.0,,15,25000.0,1666.6666666666667,2200.0,0.31999999999999984
